,id,answer_text,student_id,assigned_grade,question_id,cluster_id,override_grade,override_feedback,rule_strings,outlier_score,concept_scores,sbert_0.5,sbert_0.6,sbert_0.7,sbert_0.8,spacy_0.5,spacy_0.6,spacy_0.7,spacy_0.8,tfidf_0.5,tfidf_0.6,tfidf_0.7,tfidf_0.8,chatgpt_classified_rubric
0,3973,For re-use of assets,4770222,1.0,37,,,,"[[151, ""\u2714\ufe0f Keyword: reuse -> Matched: reuse, Similarity: 1.00""]]",0.4035542607307434,[],False,False,False,False,True,False,False,False,False,False,False,False,0.5
1,3512,They add a level of user interactivity to our prototype,13417216,0.0,37,,,,"[[148, ""\u2714\ufe0f Keyword: user -> Matched: user, Similarity: 1.00""], [149, ""\u2714\ufe0f Keyword: prototype -> Matched: prototype, Similarity: 1.00""]]",0.40521717071533203,[],False,False,False,False,True,True,True,False,False,False,False,False,0.0
2,3281,"This is a pretty simple answer and universal to all of programming and development. It's easier in the long run when you are reusing a single Item multiple times. In the below question if you wanted to change the border-radius of the checkbox, components allow you to do that in one place and all will be updated.",53473130,1.0,37,,,,[],0.4108709692955017,[],False,False,False,False,True,True,True,True,False,False,False,False,1.0
3,3535,Components allow us to make instances interactive change appearacnce respond to user action,9843906,0.0,37,,,,"[[148, ""\u2714\ufe0f Keyword: user -> Matched: user, Similarity: 1.00""]]",0.43800389766693115,[],False,False,False,False,False,False,False,False,False,False,False,False,0.5
4,3284,"Because then we can reuse them in different areas, rather than hardcoding them to one area.",84387604,1.0,37,,,,"[[151, ""\u2714\ufe0f Keyword: reuse -> Matched: reuse, Similarity: 1.00""]]",0.46376827359199524,[],True,True,False,False,True,False,False,False,False,False,False,False,0.5
5,3458,"So we can easily interact with the item and change the state of it. For example, by creating a heart component that has 2 states (red and empty), we can allow users to interact with it in our prototype while tapping on it. The state will show the current status of an item,",80156106,0.0,37,,,,[],0.47344034910202026,[],False,False,False,False,True,True,True,True,True,True,True,False,1.0
6,3844,if you want to reuse something across multiple screens,10554446,1.0,37,,,,"[[151, ""\u2714\ufe0f Keyword: reuse -> Matched: reuse, Similarity: 1.00""]]",0.48763003945350647,[],False,False,False,False,False,False,False,False,False,False,False,False,0.5
7,3482,So that we don't have to creating the same thing more than one time,53093556,1.0,37,,,,[],0.5061988234519958,[],True,True,True,False,False,False,False,False,False,False,False,False,0.5
8,4237,"The update in the parent components will be reflected on the children too, so we don't have to change all the elements that we want to one by one, we can just change the parent component and the rest will be updated. ",51175294,1.0,37,,,,[],0.529473602771759,[],False,False,False,False,True,True,False,False,False,False,False,False,1.0
9,3871,They can help create designs that will consistent across different pages or projects.,3675623,1.0,37,,,,"[[157, ""\u274c Keyword: consistent -> Matched: consistent, Similarity: 1.00""]]",0.5303753018379211,[],False,False,False,False,False,False,False,False,False,False,False,False,0.5
